Category: All categories

Week,Joe Biden: (Worldwide)
2020-12-20,10
2020-12-27,9
2021-01-03,20
2021-01-10,17
2021-01-17,100
2021-01-24,25
2021-01-31,14
2021-02-07,10
2021-02-14,10
2021-02-21,11
2021-02-28,10
2021-03-07,10
2021-03-14,11
2021-03-21,12
2021-03-28,8
2021-04-04,8
2021-04-11,6
2021-04-18,7
2021-04-25,9
2021-05-02,7
2021-05-09,8
2021-05-16,7
2021-05-23,5
2021-05-30,6
2021-06-06,7
2021-06-13,8
2021-06-20,5
2021-06-27,5
2021-07-04,5
2021-07-11,4
2021-07-18,5
2021-07-25,6
2021-08-01,5
2021-08-08,5
2021-08-15,13
2021-08-22,11
2021-08-29,11
2021-09-05,10
2021-09-12,9
2021-09-19,8
2021-09-26,6
2021-10-03,7
2021-10-10,6
2021-10-17,6
2021-10-24,8
2021-10-31,11
2021-11-07,9
2021-11-14,8
2021-11-21,7
2021-11-28,5
2021-12-05,4
2021-12-12,5
