Category: All categories

Week,Covid: (Worldwide)
2020-12-20,79
2020-12-27,85
2021-01-03,88
2021-01-10,88
2021-01-17,82
2021-01-24,78
2021-01-31,75
2021-02-07,69
2021-02-14,66
2021-02-21,70
2021-02-28,75
2021-03-07,80
2021-03-14,80
2021-03-21,85
2021-03-28,88
2021-04-04,90
2021-04-11,85
2021-04-18,87
2021-04-25,96
2021-05-02,88
2021-05-09,80
2021-05-16,80
2021-05-23,77
2021-05-30,76
2021-06-06,70
2021-06-13,68
2021-06-20,78
2021-06-27,72
2021-07-04,77
2021-07-11,85
2021-07-18,88
2021-07-25,88
2021-08-01,100
2021-08-08,90
2021-08-15,88
2021-08-22,83
2021-08-29,81
2021-09-05,72
2021-09-12,68
2021-09-19,64
2021-09-26,62
2021-10-03,47
2021-10-10,44
2021-10-17,42
2021-10-24,41
2021-10-31,42
2021-11-07,44
2021-11-14,46
2021-11-21,49
2021-11-28,57
2021-12-05,52
2021-12-12,67
