Category: All categories

Week,Alec Bladwin: (Worldwide)
2020-12-20,0
2020-12-27,0
2021-01-03,7
2021-01-10,7
2021-01-17,7
2021-01-24,0
2021-01-31,7
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,7
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,7
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,8
2021-09-05,0
2021-09-12,8
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,100
2021-10-24,47
2021-10-31,5
2021-11-07,0
2021-11-14,16
2021-11-21,0
2021-11-28,5
2021-12-05,16
2021-12-12,0
