Category: All categories

Week,Pete Davidson: (Worldwide)
2020-12-20,13
2020-12-27,7
2021-01-03,5
2021-01-10,7
2021-01-17,7
2021-01-24,6
2021-01-31,11
2021-02-07,7
2021-02-14,6
2021-02-21,8
2021-02-28,6
2021-03-07,5
2021-03-14,6
2021-03-21,8
2021-03-28,6
2021-04-04,9
2021-04-11,8
2021-04-18,12
2021-04-25,9
2021-05-02,8
2021-05-09,9
2021-05-16,7
2021-05-23,10
2021-05-30,6
2021-06-06,5
2021-06-13,4
2021-06-20,4
2021-06-27,4
2021-07-04,8
2021-07-11,7
2021-07-18,6
2021-07-25,5
2021-08-01,8
2021-08-08,12
2021-08-15,11
2021-08-22,9
2021-08-29,8
2021-09-05,11
2021-09-12,14
2021-09-19,7
2021-09-26,5
2021-10-03,6
2021-10-10,8
2021-10-17,7
2021-10-24,7
2021-10-31,78
2021-11-07,36
2021-11-14,100
2021-11-21,92
2021-11-28,34
2021-12-05,36
2021-12-12,42
