Category: All categories

Week,Simone Biles: (Worldwide)
2020-12-20,1
2020-12-27,<1
2021-01-03,<1
2021-01-10,1
2021-01-17,1
2021-01-24,1
2021-01-31,1
2021-02-07,1
2021-02-14,2
2021-02-21,1
2021-02-28,1
2021-03-07,<1
2021-03-14,<1
2021-03-21,<1
2021-03-28,<1
2021-04-04,<1
2021-04-11,<1
2021-04-18,1
2021-04-25,1
2021-05-02,<1
2021-05-09,<1
2021-05-16,1
2021-05-23,4
2021-05-30,1
2021-06-06,4
2021-06-13,4
2021-06-20,4
2021-06-27,8
2021-07-04,2
2021-07-11,2
2021-07-18,7
2021-07-25,100
2021-08-01,35
2021-08-08,6
2021-08-15,2
2021-08-22,1
2021-08-29,1
2021-09-05,1
2021-09-12,4
2021-09-19,1
2021-09-26,1
2021-10-03,1
2021-10-10,1
2021-10-17,1
2021-10-24,1
2021-10-31,1
2021-11-07,<1
2021-11-14,<1
2021-11-21,<1
2021-11-28,1
2021-12-05,1
2021-12-12,1
