Category: All categories

Week,Red Notice: (Worldwide)
2020-12-20,<1
2020-12-27,1
2021-01-03,1
2021-01-10,2
2021-01-17,1
2021-01-24,1
2021-01-31,1
2021-02-07,<1
2021-02-14,1
2021-02-21,1
2021-02-28,1
2021-03-07,3
2021-03-14,4
2021-03-21,2
2021-03-28,1
2021-04-04,1
2021-04-11,1
2021-04-18,1
2021-04-25,1
2021-05-02,1
2021-05-09,1
2021-05-16,1
2021-05-23,1
2021-05-30,1
2021-06-06,1
2021-06-13,1
2021-06-20,1
2021-06-27,1
2021-07-04,2
2021-07-11,1
2021-07-18,1
2021-07-25,1
2021-08-01,2
2021-08-08,1
2021-08-15,1
2021-08-22,2
2021-08-29,4
2021-09-05,3
2021-09-12,2
2021-09-19,2
2021-09-26,2
2021-10-03,2
2021-10-10,2
2021-10-17,4
2021-10-24,3
2021-10-31,13
2021-11-07,64
2021-11-14,100
2021-11-21,41
2021-11-28,24
2021-12-05,16
2021-12-12,12
