Category: All categories

Week,Cruella: (Worldwide)
2020-12-20,1
2020-12-27,2
2021-01-03,1
2021-01-10,1
2021-01-17,1
2021-01-24,1
2021-01-31,1
2021-02-07,1
2021-02-14,13
2021-02-21,4
2021-02-28,3
2021-03-07,2
2021-03-14,3
2021-03-21,3
2021-03-28,3
2021-04-04,4
2021-04-11,3
2021-04-18,2
2021-04-25,3
2021-05-02,6
2021-05-09,9
2021-05-16,14
2021-05-23,51
2021-05-30,100
2021-06-06,68
2021-06-13,45
2021-06-20,38
2021-06-27,32
2021-07-04,28
2021-07-11,25
2021-07-18,24
2021-07-25,17
2021-08-01,15
2021-08-08,14
2021-08-15,13
2021-08-22,21
2021-08-29,27
2021-09-05,20
2021-09-12,14
2021-09-19,14
2021-09-26,13
2021-10-03,15
2021-10-10,16
2021-10-17,16
2021-10-24,22
2021-10-31,14
2021-11-07,7
2021-11-14,7
2021-11-21,8
2021-11-28,6
2021-12-05,6
2021-12-12,6
