Category: All categories

Week,FIFA 22: (Worldwide)
2020-12-20,<1
2020-12-27,<1
2021-01-03,<1
2021-01-10,<1
2021-01-17,<1
2021-01-24,<1
2021-01-31,<1
2021-02-07,<1
2021-02-14,<1
2021-02-21,<1
2021-02-28,<1
2021-03-07,<1
2021-03-14,<1
2021-03-21,<1
2021-03-28,<1
2021-04-04,1
2021-04-11,1
2021-04-18,1
2021-04-25,1
2021-05-02,1
2021-05-09,1
2021-05-16,1
2021-05-23,1
2021-05-30,2
2021-06-06,1
2021-06-13,2
2021-06-20,2
2021-06-27,2
2021-07-04,5
2021-07-11,13
2021-07-18,8
2021-07-25,7
2021-08-01,8
2021-08-08,13
2021-08-15,9
2021-08-22,10
2021-08-29,13
2021-09-05,16
2021-09-12,40
2021-09-19,100
2021-09-26,85
2021-10-03,45
2021-10-10,31
2021-10-17,26
2021-10-24,27
2021-10-31,24
2021-11-07,23
2021-11-14,20
2021-11-21,24
2021-11-28,21
2021-12-05,20
2021-12-12,22
