Category: All categories

Week,Afghanistan: (Worldwide)
2020-12-20,2
2020-12-27,2
2021-01-03,2
2021-01-10,2
2021-01-17,3
2021-01-24,4
2021-01-31,2
2021-02-07,2
2021-02-14,2
2021-02-21,2
2021-02-28,4
2021-03-07,6
2021-03-14,6
2021-03-21,2
2021-03-28,2
2021-04-04,2
2021-04-11,3
2021-04-18,2
2021-04-25,2
2021-05-02,2
2021-05-09,2
2021-05-16,2
2021-05-23,3
2021-05-30,2
2021-06-06,2
2021-06-13,3
2021-06-20,2
2021-06-27,2
2021-07-04,4
2021-07-11,3
2021-07-18,3
2021-07-25,3
2021-08-01,3
2021-08-08,10
2021-08-15,100
2021-08-22,41
2021-08-29,25
2021-09-05,12
2021-09-12,7
2021-09-19,5
2021-09-26,4
2021-10-03,3
2021-10-10,3
2021-10-17,6
2021-10-24,16
2021-10-31,30
2021-11-07,13
2021-11-14,3
2021-11-21,2
2021-11-28,2
2021-12-05,2
2021-12-12,2
