Category: All categories

Week,Dogecoin: (Worldwide)
2020-12-20,2
2020-12-27,3
2021-01-03,6
2021-01-10,3
2021-01-17,2
2021-01-24,54
2021-01-31,44
2021-02-07,49
2021-02-14,21
2021-02-21,14
2021-02-28,8
2021-03-07,9
2021-03-14,8
2021-03-21,5
2021-03-28,6
2021-04-04,6
2021-04-11,67
2021-04-18,74
2021-04-25,34
2021-05-02,98
2021-05-09,100
2021-05-16,51
2021-05-23,29
2021-05-30,25
2021-06-06,17
2021-06-13,12
2021-06-20,19
2021-06-27,12
2021-07-04,10
2021-07-11,9
2021-07-18,9
2021-07-25,8
2021-08-01,7
2021-08-08,10
2021-08-15,12
2021-08-22,8
2021-08-29,7
2021-09-05,7
2021-09-12,6
2021-09-19,6
2021-09-26,4
2021-10-03,7
2021-10-10,6
2021-10-17,6
2021-10-24,11
2021-10-31,8
2021-11-07,7
2021-11-14,5
2021-11-21,5
2021-11-28,5
2021-12-05,5
2021-12-12,9
