Category: All categories

Week,Stimulus Check: (Worldwide)
2020-12-20,50
2020-12-27,100
2021-01-03,59
2021-01-10,28
2021-01-17,24
2021-01-24,21
2021-01-31,26
2021-02-07,24
2021-02-14,20
2021-02-21,25
2021-02-28,34
2021-03-07,75
2021-03-14,71
2021-03-21,32
2021-03-28,24
2021-04-04,15
2021-04-11,11
2021-04-18,10
2021-04-25,11
2021-05-02,11
2021-05-09,11
2021-05-16,9
2021-05-23,8
2021-05-30,7
2021-06-06,8
2021-06-13,7
2021-06-20,6
2021-06-27,6
2021-07-04,6
2021-07-11,9
2021-07-18,6
2021-07-25,5
2021-08-01,5
2021-08-08,6
2021-08-15,5
2021-08-22,5
2021-08-29,4
2021-09-05,4
2021-09-12,4
2021-09-19,4
2021-09-26,3
2021-10-03,3
2021-10-10,2
2021-10-17,2
2021-10-24,2
2021-10-31,2
2021-11-07,2
2021-11-14,2
2021-11-21,1
2021-11-28,2
2021-12-05,2
2021-12-12,3
